car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],445000.0,22402,Petrol,Mumbai,2016
Maruti Suzuki Alto 800 Lxi,293000.0,10344,Petrol,Kolkata,2019
Tata Safari XZ Plus New,2249000.0,12999,Diesel,Bangalore,2021
Maruti Suzuki Ciaz ZXI+,695000.0,45000,Petrol,Thane,2016
Jeep Compass Sport Plus 1.4 Petrol [2019-2020],1200000.0,11193,Petrol,Kolkata,2019
Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],372000.0,42906,Petrol,Chennai,2017
Hyundai Creta SX Plus 1.6 AT CRDI,1150000.0,66602,Diesel,Mumbai,2017
Maruti Suzuki Ertiga VXi AT,1039000.0,13189,Petrol,Bangalore,2019
Toyota Etios Liva G,375000.0,67815,Petrol,Mumbai,2013
Renault Kwid 1.0 RXT AMT Opt [2016-2019],425000.0,19509,Petrol,Mumbai,2018
Maruti Suzuki Ciaz VDi+ SHVS,675000.0,60000,Diesel,Ahmedabad,2017
Maruti Suzuki Alto 800 LXi (O),449000.0,3583,Petrol,Bangalore,2019
Chevrolet Optra Magnum LS 2.0 TCDi,300000.0,148000,Diesel + 1,Pallikarnai,2007
Maruti Suzuki Vitara Brezza VDi,950000.0,48748,Diesel,Hyderabad,2019
Jeep Compass Longitude 2.0 Diesel [2017-2020],1325000.0,38000,Diesel,Thane,2018
Toyota Corolla Altis VL AT Petrol,925000.0,36000,Petrol,Kolkata,2016
Hyundai Elite i20 Magna Executive 1.2,675000.0,13747,Petrol,Ahmedabad,2017
Mercedes-Benz EQC 400 4MATIC,9500000.0,3200,Electric,Pune,2022
Ford EcoSport Titanium 1.5L Ti-VCT,871000.0,12795,Petrol,Chennai,2018
Hyundai i10 Magna 1.2 Kappa2,335000.0,41273,Petrol,Mumbai,2014
Hyundai Creta 1.6 SX Plus Petrol Special Edition,988000.0,20142,Petrol,Pune,2016
Porsche 718 Boxster,11500000.0,6500,Petrol,Pune,2020
Kia Seltos HTE 1.5 Diesel,1100000.0,47103,Diesel,Thane,2019
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],990000.0,7755,Petrol,Mumbai,2020
Renault Kwid 1.0 RXL [2017-2019],345000.0,33513,Petrol,Gurgaon,2019
BMW 3 Series 320d Luxury Line,3749000.0,24848,Diesel,Kolkata,2019
Maruti Suzuki Baleno Alpha 1.2,639000.0,34559,Petrol,Delhi,2017
Hyundai i20 Sportz 1.2 IVT,890000.0,4000,Petrol,Ahmedabad,2022
Ford EcoSport Titanium 1.5L Ti-VCT,659000.0,54544,Petrol,Kolkata,2018
Maruti Suzuki Wagon R 1.0 VXI,392000.0,42247,Petrol,Kolkata,2018
Honda Jazz VX Diesel,800000.0,100000,Diesel,Hyderabad,2018
Maruti Suzuki Swift VDi,775000.0,69000,Diesel,Hyderabad,2019
Tata Nexon XZ Plus,1152000.0,10422,Petrol,Delhi,2021
Audi Q3 35 TDI Premium + Sunroof,1675000.0,52000,Diesel,Mumbai,2014
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],850000.0,56255,Petrol,Ahmedabad,2019
Hyundai Santro Sportz CNG [2018-2020],593000.0,78260,CNG,Delhi,2021
Maruti Suzuki Alto 800 LXi (O) CNG,415000.0,19970,CNG,Bangalore,2021
MG Hector Plus Sharp 1.5 DCT Petrol,1850000.0,9070,Petrol,Ahmedabad,2020
Ford Figo Duratec Petrol ZXI 1.2,240000.0,73000,Petrol,Thane,2013
Audi Q3 2.0 TDI Base Grade,1199000.0,46336,Diesel,Kolkata,2015
Hyundai Creta SX Plus 1.6  Petrol,894999.0,57220,Petrol,Thane,2016
Honda Jazz ZX,968000.0,7096,Petrol,Pune,2021
Mercedes-Benz EQC 400 4MATIC,8100000.0,21500,Electric,Bangalore,2020
Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],493000.0,44045,Petrol,Pune,2015
BMW X1 sDrive20d,1050000.0,70000,Diesel,Kolkata,2013
Maruti Suzuki Swift ZDi Plus,785000.0,32853,Diesel,Thane,2018
BMW 5 Series 520d Luxury Line [2017-2019],3899000.0,26781,Diesel,Kolkata,2017
Skoda Superb L&K TSI AT,3100000.0,45700,Petrol,Ahmedabad,2021
Maruti Suzuki Swift DZire VXI,484999.0,62000,Petrol,Thane,2014
Maruti Suzuki Wagon R 1.0 LXI CNG,434999.0,73500,CNG,Thane,2017
Maruti Suzuki Wagon R 1.0 LXI CNG,451000.0,74076,CNG,Pune,2017
Tata Tiago Revotron XZA,545000.0,56355,Petrol,Mumbai,2018
Tata Tiago Revotron XT [2016-2019],450000.0,37000,Petrol,Thane,2017
Maruti Suzuki Wagon R LXi 1.0 CNG,681000.0,22158,CNG,Pune,2021
Hyundai Xcent S 1.2,395000.0,62568,Petrol,Noida,2014
Kia Seltos HTK 1.5 [2020-2021],1143000.0,19970,Petrol,Pune,2019
BMW 5 Series 520d Luxury Line,2300000.0,73900,Diesel,Ahmedabad,2015
Kia Seltos HTE 1.5,1050000.0,37991,Petrol,Thane,2020
Hyundai Creta 1.6 SX Plus AT Petrol,1275000.0,58676,Petrol,Mumbai,2018
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],599000.0,35104,Petrol,Bangalore,2017
Kia Seltos GTX 1.4 Dual Tone,1620000.0,51605,Petrol,Pune,2019
Maruti Suzuki S-Presso VXi,420000.0,17472,Petrol,Delhi,2020
Hyundai Elite i20 Sportz 1.4,475000.0,80000,Diesel,Delhi,2015
Mercedes-Benz GLC 200 Progressive,6600000.0,16785,Petrol,Bangalore,2021
Mercedes-Benz E-Class E 200,6898999.0,3999,Petrol,Bangalore,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,441000.0,66882,CNG,Pune,2017
Audi A4 35 TDI Technology,2950000.0,71235,Diesel,Ahmedabad,2018
Chevrolet Cruze LTZ AT,590000.0,56000,Diesel,Ahmedabad,2013
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],413999.0,74938,Petrol,Delhi,2016
Honda City 1.5 S MT,285000.0,82000,Petrol,Noida,2009
Maruti Suzuki Wagon R LXi 1.0 CNG,675000.0,57685,CNG,Pune,2021
Hyundai Elite i20 Sportz 1.2,710000.0,48000,Petrol,Hyderabad,2018
Mercedes-Benz C-Class 220 BlueEfficiency,1395000.0,120000,Diesel,Hyderabad,2013
Hyundai Eon Magna [2011-2012],320000.0,33146,Petrol,Ahmedabad,2015
Maruti Suzuki Baleno Delta 1.2,629000.0,26603,Petrol,Delhi,2019
Volkswagen Vento Comfortline 1.2 (P) AT,651000.0,53094,Petrol,Mumbai,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],475000.0,4098,Petrol,Mumbai,2017
Maruti Suzuki Wagon R 1.0 VXi,289000.0,75379,Petrol,Pune,2011
Hyundai Venue S 1.0 Petrol [2019-2020],897000.0,15763,Petrol,Kolkata,2019
Mercedes-Benz C-Class 200 K AT,850000.0,119500,Petrol,Ahmedabad,2010
Maruti Suzuki Wagon R 1.0 VXi,276000.0,42697,Petrol,Kolkata,2013
Hyundai Elite i20 Magna Executive 1.2,690000.0,45000,Petrol,Ahmedabad,2018
Maruti Suzuki Vitara Brezza ZDi Plus,1044000.0,55174,Diesel,Pune,2019
Honda City VX CVT,735000.0,82953,Petrol,Chennai,2016
Maruti Suzuki Wagon R 1.0 VXI AMT,390000.0,85138,Petrol,Pune,2016
Audi Q5 3.0 TDI quattro Premium Plus,2500000.0,57000,Diesel,Hyderabad,2015
Audi A6 2.0 TDI Premium,1125000.0,52000,Diesel,Kolkata,2013
